transaction_id	items
1	Banana,Butter,Toothpaste
2	Orange Juice,Pear,Grape,Hard Salami,Coffee,Italian Sub
3	Apple,Grape,Lemon,Meatlovers Pizza,Muenster Cheese,Coffee,Popcorn
4	Classic Coke,Apple Juice,Grape,Banana,Bread,Milk,Butter,Toothpaste
5	Sprite,Fanta,Orange Juice,Lemon,Hot Pocket,Batteries,Shampoo
6	Fanta,Grape,Lemon,Sliced Ham,Popcorn
7	Apple Juice,Pear,Banana,Bread,Milk,Italian Sub,Eggs,Yogurt
8	Lemon,Provolone Cheese,Milk,Rice,Italian Sub,Shampoo,Tylenol
9	Orange Juice,Milk,Eggs
10	Apple Juice,Grape,Hot Pocket,Popcorn,Batteries,Shampoo
11	Classic Coke,Sprite,Banana,Rice,Popcorn,Tylenol
12	Apple,Hungry Man,Muenster Cheese,Butter,Shampoo
13	Orange Juice,Pear,Hot Pocket,Coffee
14	Sprite,Pear,Grape,Lemon,Hungry Man,Hard Salami,Bread,Yogurt
15	Classic Coke,Pear,Banana,Italian Sub,Butter
16	Orange Juice,Grape,Meatlovers Pizza,Coffee,Batteries,Tylenol
17	Milk,Toothpaste,Yogurt
18	Sprite,Orange Juice,Apple,Bread,Butter,Tylenol
19	Grape,Hot Pocket,Hungry Man,Provolone Cheese,Bread,Tylenol
20	Apple Juice,Sliced Ham,Bread,Coffee,Rice,Popcorn,Yogurt
